candle_begin_time,open,high,low,close,volume
2021-07-07 01:45:00,3.248,3.25,3.2472,3.25,266.0
2021-07-07 01:46:00,3.2493,3.2493,3.22,3.2276,872.20848189
2021-07-07 01:47:00,3.2461,3.2461,3.2,3.2,10443.014994149997
2021-07-07 01:48:00,3.2,3.2,3.1991,3.2,441.69700410999997
2021-07-07 01:49:00,3.2,3.2,3.1919999999999997,3.1922,447.62890454999996
2021-07-07 01:50:00,3.1918,3.1922,3.18,3.1922,337.44399999999996
2021-07-07 01:51:00,3.19,3.2263,3.1768,3.1769,534.94030964
2021-07-07 01:52:00,3.2142,3.2142,3.1761,3.1855,285.96545656
2021-07-07 01:53:00,3.1855,3.1974,3.1710000000000003,3.1722,848.1435437700001
2021-07-07 01:54:00,3.1947,3.1947,3.1846,3.1918,377.1
2021-07-07 01:55:00,3.1913,3.1913,3.1888,3.1888,238.59999999999997
2021-07-07 01:56:00,3.1878,3.1878,3.1853,3.1853,246.8
2021-07-07 01:57:00,3.1852,3.1852,3.15,3.17,2197.3691304000004
2021-07-07 01:58:00,3.17,3.17,3.17,3.17,336.27744602999996
2021-07-07 01:59:00,3.17,3.17,3.1611,3.1611,260.25429164999997
2021-07-07 02:00:00,3.17,3.17,3.1612,3.1612,395.96549792999997
2021-07-07 02:01:00,3.17,3.17,3.16,3.17,259.41109043999995
2021-07-07 02:02:00,3.17,3.17,3.16,3.1699,2132.1
2021-07-07 02:03:00,3.1698,3.17,3.1510000000000002,3.1510000000000002,1394.7542520000002
2021-07-07 02:04:00,3.1510000000000002,3.17,3.15,3.155,3788.8585660200006
2021-07-07 02:05:00,3.15,3.155,3.1269,3.1269,5448.47150684
2021-07-07 02:06:00,3.127,3.127,3.12,3.12,2714.9979827
2021-07-07 02:07:00,3.1146,3.127,3.112,3.1260000000000003,1079.2821926400002
2021-07-07 02:08:00,3.1259,3.127,3.111,3.1260000000000003,406.62799781
2021-07-07 02:09:00,3.1260000000000003,3.127,3.115,3.1269,937.9368372700002
2021-07-07 02:10:00,3.127,3.127,3.1,3.1260000000000003,22195.643050540006
2021-07-07 02:11:00,3.127,3.127,3.1069,3.1104,768.3187221400001
2021-07-07 02:12:00,3.1216,3.127,3.1,3.1260000000000003,5469.052118199999
2021-07-07 02:13:00,3.1259,3.1259,3.0443,3.08,47334.753688200006
2021-07-07 02:14:00,3.1,3.1248,3.0899,3.0996,463.0827199000001
2021-07-07 02:15:00,3.1234,3.1234,3.0811,3.1192,706.3561270399999
2021-07-07 02:16:00,3.1181,3.1181,3.0875,3.1078,210.39999999999998
2021-07-07 02:17:00,3.1071,3.1071,3.0901,3.1,255.8
2021-07-07 02:18:00,3.1,3.1,3.0907,3.1,397.76
2021-07-07 02:19:00,3.091,3.091,3.0662,3.08,4395.391479389999
2021-07-07 02:20:00,3.08,3.09,3.0443,3.07,19077.229999789986
2021-07-07 02:21:00,3.07,3.07,3.0481,3.0694,1337.4836102899997
2021-07-07 02:22:00,3.0695,3.0695,3.0615,3.0692,839.72200962
2021-07-07 02:23:00,3.0692,3.0949,3.0677,3.0948,4580.62787049
2021-07-07 02:24:00,3.08,3.0941,3.08,3.0911,323.02335463
2021-07-07 02:25:00,3.0907,3.0907,3.08,3.08,869.4777039700001
2021-07-07 02:26:00,3.0772,3.08,3.0704,3.0706,1183.65717358
